AC_NO,AC_NAME,AC_TYPE,CAND_NAME,CAND_SEX,CAND_CATEGORY,CAND_AGE,PARTY ABBREviation,Total valid votes polled,POSITION
72,DEOTALAB,GEN,PARMASHWAR PRASAD DUBY,M,GEN,54,IND,588,17
72,DEOTALAB,GEN,PRAHLAD PATEL,M,GEN,42,RPD,882,13
72,DEOTALAB,GEN,RAHAS LAL PATEL,M,GEN,35,JD(U),348,18
72,DEOTALAB,GEN,RAMASHANKAR (BHOLE) SHAHU,M,GEN,41,IND,2143,6
72,DEOTALAB,GEN,RAMESHWAR GUPTA (LALLU NETA),M,GEN,55,IND,921,12
72,DEOTALAB,GEN,SARIKA SINGH,F,GEN,43,IND,4545,4
72,DEOTALAB,GEN,SURESH PRASAD DAS,M,SC,35,IND,1061,10
72,DEOTALAB,GEN,UDAY PRAKASH MISHRA,M,GEN,49,INC,30022,3
73,MANGAWAN,SC,DR TRIVENI PRASAD MAITREY,M,SC,40,INC,30697,3
73,MANGAWAN,SC,GAJWA PRASAD,M,SC,67,IND,995,8
73,MANGAWAN,SC,JAGANNATH PRAJAPATI URF SARDAR,M,SC,43,BSCP,2095,5
73,MANGAWAN,SC,None of the Above,NULL,NULL,NULL,NOTA,2215,4
73,MANGAWAN,SC,PANNABAI PRAJAPATI,F,SC,38,BJP,40074,2
73,MANGAWAN,SC,PRABHUNATH PRASAD SAKET,M,SC,32,IND,967,9
73,MANGAWAN,SC,RAM MILAN VERMA,M,SC,26,IND,802,10
73,MANGAWAN,SC,SHANKAR LAL BASOR,M,SC,38,RPD,1983,6
73,MANGAWAN,SC,SHEELA TYAGI,F,SC,34,BSP,40349,1
73,MANGAWAN,SC,TULSI,M,SC,45,NCP,1814,7
74,REWA,GEN,ABDUL KADEER,M,GEN,49,IND,195,19
74,REWA,GEN,ABDUL WAFATI URF MOHMAND SIDDEKI ANSARI,M,GEN,54,SAP,240,15
74,REWA,GEN,ABHISHEK TIWARI,M,GEN,27,RKIVP,216,17
74,REWA,GEN,ANIL KUMAR (UPKARI),M,GEN,31,IND,371,11
74,REWA,GEN,ASHOK SHUKLA,M,GEN,52,IND,347,12
74,REWA,GEN,DR. MUJEEB KHAN,M,GEN,58,INC,20600,3
74,REWA,GEN,DR. SURENDRA KUMAR MISHRA,M,GEN,47,IND,223,16
74,REWA,GEN,ENGG. SANT KUMAR PATEL,M,GEN,40,AD,645,9
74,REWA,GEN,GURUCHARAN KUSHWAHA,M,GEN,35,IND,252,14
74,REWA,GEN,KRISHNA BAHADUR SINGH (SANTJI),M,GEN,54,AIFB,164,21
74,REWA,GEN,KRISHNA KUMAR GUPTA (K.K),M,GEN,35,BSP,23956,2
74,REWA,GEN,MADHUMAS CHANDRA SONI URF BUNCHI,M,GEN,47,IND,536,10
74,REWA,GEN,MOHMAMD AMIR KURESHEE,M,GEN,25,LSWP,129,23
74,REWA,GEN,None of the Above,NULL,NULL,NULL,NOTA,865,8
74,REWA,GEN,OM PRAKASH TRIPATHI,M,GEN,29,IND,116,25
74,REWA,GEN,RAJENDRA PANDEY,M,GEN,55,SP,5669,4
74,REWA,GEN,RAJENDRA SHUKLA,M,GEN,49,BJP,61502,1
74,REWA,GEN,RAMAKANT MISHRA,M,GEN,54,SVSP,115,26
74,REWA,GEN,RAMESH KUMAR LONIYA (MUKHIYA),M,GEN,68,RsAD,172,20
74,REWA,GEN,RIPUDAMAN PANDEY (RIPU),M,GEN,31,JD(S),305,13
74,REWA,GEN,SADHWI SPANDNI HANUMANTI DEVI,F,GEN,25,IND,202,18
74,REWA,GEN,SHIVENDRA DWIVEDI (SHIBBO),M,GEN,26,BSCP,1007,7
74,REWA,GEN,SHYAMLAL PATEL,M,GEN,42,IND,127,24
74,REWA,GEN,SUJEET KUMAR,M,GEN,38,CPI,1054,6
74,REWA,GEN,SURYAPRAKASH SHRIVASTAV,M,GEN,34,RPD,1161,5
74,REWA,GEN,YAS.K. MALA,M,GEN,55,SP(I),162,22
75,GURH,GEN,AMRESH PATEL,M,GEN,27,SP,1084,11
75,GURH,GEN,BRIJKISHOR SHARMA,M,GEN,40,NPEP,682,15
75,GURH,GEN,BUDDHSEN PATEL (PURV SANSAD),M,GEN,57,RPD,1099,9
75,GURH,GEN,DHEREND SINGH,M,GEN,35,BSCP,1107,8
75,GURH,GEN,DINESH KUMAR SONI URF DINNU,M,GEN,35,IND,522,18
75,GURH,GEN,DINESHDHAR DWIVEDI,M,GEN,33,IND,551,17
75,GURH,GEN,KAPIDHWAJ SINGH BHAIYA,M,GEN,35,IND,25510,4
75,GURH,GEN,MAHESH BHUPATI,M,SC,29,IND,971,13
75,GURH,GEN,MASTER BUDDHSEN ABHISHEK KUMAR PATEL,M,GEN,25,AD,1088,10
75,GURH,GEN,MUNIRAJ PATEL,M,GEN,35,BSP,26099,3
75,GURH,GEN,NAGENDRA SINGH,M,GEN,70,BJP,32359,2
75,GURH,GEN,NITYANAND KUSHWAHA,M,GEN,37,IND,2319,5
75,GURH,GEN,None of the Above,NULL,NULL,NULL,NOTA,913,14
75,GURH,GEN,RAM SUNDAR SHARMA (LAMBA KURTA),M,GEN,74,IND,1120,7
75,GURH,GEN,RAMKISAN NIRAT (SAKET),M,SC,37,RPI(A),474,19
75,GURH,GEN,RAMKRIPAL SAKET,M,SC,70,IND,2008,6
75,GURH,GEN,RAMKRISHAN SHYAMLAL YADAV VIDHI SALAHKAR,M,GEN,41,RsAD,996,12
75,GURH,GEN,SUDHANSU KUMAR,M,GEN,47,IND,577,16
75,GURH,GEN,SUNDAR LAL TIWARI,M,GEN,55,INC,33741,1
76,CHURHAT,GEN,AJAY ARJUN SINGH,M,GEN,58,INC,71796,1
76,CHURHAT,GEN,ANAND PANDEY,M,GEN,44,CPI,2984,5
76,CHURHAT,GEN,ANURAG SINGH,M,GEN,26,IND,558,13
76,CHURHAT,GEN,CHANDRABHAN JAISAWAL,M,GEN,36,BSP,7044,3
76,CHURHAT,GEN,DADAN SINGH BAGHEL,M,GEN,55,IND,1697,7
76,CHURHAT,GEN,DADDU LAL PANDEY,M,GEN,43,BSCP,1908,6
76,CHURHAT,GEN,HAMID RAZA ANSHARI,M,GEN,48,IND,791,11
76,CHURHAT,GEN,MAHENDRA BHAIYA DIXIT,M,GEN,46,IND,1112,8
76,CHURHAT,GEN,None of the Above,NULL,NULL,NULL,NOTA,3168,4
76,CHURHAT,GEN,RAGHUNANDAN SINGH KURM KSHATRI PATEL,M,GEN,34,GGP,819,10
76,CHURHAT,GEN,RAMAKANT PANDEY MALAINHA,M,GEN,67,SBHSP,221,16
76,CHURHAT,GEN,RAMNARESH SAKET,M,SC,45,AD,222,15
76,CHURHAT,GEN,RAMPRATAP SINGH YADAV,M,GEN,42,SP,756,12
76,CHURHAT,GEN,RAMSIYA KOL,M,ST,40,LJP,351,14
76,CHURHAT,GEN,SAMPATI KUMAR CHAUDHARI  BISARAM CHAUDHARI,M,SC,45,RPD,901,9
76,CHURHAT,GEN,SHARADENDU TIWARI,M,GEN,40,BJP,52440,2
77,SIDHI,GEN,ASHOK KUMAR GUPTA,M,GEN,33,BSP,12579,3
77,SIDHI,GEN,DADDI YADAV,M,GEN,58,IND,699,11
77,SIDHI,GEN,DHARMENDRA SINGH CHAUHAN,M,GEN,46,SP,811,10
77,SIDHI,GEN,DR. DINESH KUMAR AWADHIA,M,GEN,44,BSCP,3577,5
77,SIDHI,GEN,HARI KUMAR KEWAT ADVOCATE,M,GEN,36,PMSP,1170,9
77,SIDHI,GEN,KAMALESHWAR PRASAD DWIVEDI,M,GEN,63,INC,50755,2
77,SIDHI,GEN,KEDAR NATH SHUKLA,M,GEN,59,BJP,53115,1
77,SIDHI,GEN,None of the Above,NULL,NULL,NULL,NOTA,2761,6
77,SIDHI,GEN,PRAKASH MANIK,M,GEN,25,LJP,390,14
77,SIDHI,GEN,PRAVIN KUMAR CHATURVEDI,M,GEN,30,NPEP,514,13
77,SIDHI,GEN,RAJESH KUMAR SINGH,M,GEN,30,IND,1293,8
77,SIDHI,GEN,RAMAWATAR VERMA,M,GEN,72,AD,556,12
77,SIDHI,GEN,SHER BAHADUR SINGH,M,GEN,34,IND,1355,7
77,SIDHI,GEN,SHYAM LAL JAYSWAL,M,GEN,38,GGP,4977,4
78,SIHAWAL,GEN,ABDUL SAMAD,M,GEN,32,IND,1385,7
78,SIHAWAL,GEN,BHAILAL PATEL,M,GEN,52,BSCP,2652,5
78,SIHAWAL,GEN,GHANSHYAM PATHAK,M,GEN,62,BSP,13982,3
78,SIHAWAL,GEN,KAMLESHWAR INDRAJEETKUMAR,M,GEN,41,INC,72928,1
78,SIHAWAL,GEN,MO. SHARIF KHAN,M,GEN,51,GGP,1468,6
78,SIHAWAL,GEN,None of the Above,NULL,NULL,NULL,NOTA,2978,4
78,SIHAWAL,GEN,RAJKUMAR KOL,M,ST,52,LJP,562,11
78,SIHAWAL,GEN,RAMA SHRAWAN DWIVEDI,F,GEN,27,SP,658,9
78,SIHAWAL,GEN,SVARUP NARAYAN DWIVEDI PATRAKAR,M,GEN,51,IND,969,8
78,SIHAWAL,GEN,VIDYACHARAN R. SHUKLA,M,GEN,40,AD,576,10
78,SIHAWAL,GEN,VISHWAMITRA PATHAK,M,GEN,55,BJP,40372,2
79,CHITRANGI ,ST,CHETMANI SINGH POYAM,M,ST,51,BSP,14066,3
79,CHITRANGI ,ST,CHHOTELAL SINGH PAIGAM,M,ST,39,BSCP,3677,6
79,CHITRANGI ,ST,DHANSHAH BAIGA,M,ST,38,IND,1971,8
79,CHITRANGI ,ST,JAGANNATH SINGH,M,ST,66,BJP,47621,2
79,CHITRANGI ,ST,NANDGOPAL KOL,M,ST,39,NPEP,1343,11
79,CHITRANGI ,ST,None of the Above,NULL,NULL,NULL,NOTA,4392,4
79,CHITRANGI ,ST,RAJARAM SINGH POYA,M,ST,43,GGP,3866,5
79,CHITRANGI ,ST,ROOPSHAH SINGH PAIGAM,M,ST,47,SP,1691,10
79,CHITRANGI ,ST,SARASWATI SINGH,F,ST,34,INC,57466,1
79,CHITRANGI ,ST,SHESHMAN KOL,M,ST,46,IND,1937,9
79,CHITRANGI ,ST,YAGYA NARAYAN,M,ST,43,IND,2167,7
80,SINGAROULI ,GEN,AMBIKA PRASAD SAHU,M,GEN,44,RPD,864,11
80,SINGAROULI ,GEN,AMOLE PRASAD,M,GEN,37,IND,251,23
80,SINGAROULI ,GEN,ARJUN PRSAD GUPTA,M,GEN,48,IND,286,22
80,SINGAROULI ,GEN,BHAGWAN DAS,M,GEN,32,IND,537,17
80,SINGAROULI ,GEN,BHAGWAN PRASAD,M,GEN,71,IND,538,16
80,SINGAROULI ,GEN,BHUVNESHWAR PRASAD SINGH RAJA BABA,M,GEN,62,INC,37733,2
80,SINGAROULI ,GEN,KUNDAN KUMAR PANDEY,M,GEN,41,IND,3068,4
80,SINGAROULI ,GEN,MUKESH KUMAR SHAH,M,GEN,25,IND,699,12
80,SINGAROULI ,GEN,None of the Above,NULL,NULL,NULL,NOTA,1124,9
80,SINGAROULI ,GEN,PREM SAGAR GUPTA,M,GEN,42,BSCP,636,13
80,SINGAROULI ,GEN,RAJ KUMAR KUSHWAHA,M,GEN,36,IND,1542,6
80,SINGAROULI ,GEN,RAM DAS SHAH,M,GEN,46,GGP,1344,8
80,SINGAROULI ,GEN,RAM KUMAR PANIKA,M,GEN,47,IND,580,14
80,SINGAROULI ,GEN,RAM LAKHAN SHARMA,M,GEN,70,IND,559,15
80,SINGAROULI ,GEN,RAM LAL SHAH,M,GEN,70,IND,380,20
80,SINGAROULI ,GEN,RAM LALLU VAISHYA,M,GEN,61,BJP,48293,1
80,SINGAROULI ,GEN,RAMDAYAL SAKET,M,GEN,26,IND,457,18
80,SINGAROULI ,GEN,RAVIKANT,M,GEN,45,IND,1736,5
80,SINGAROULI ,GEN,RENU SHAH,F,GEN,39,BSP,29809,3
80,SINGAROULI ,GEN,SANJAY NAMDEV,M,GEN,36,CPI,1418,7
80,SINGAROULI ,GEN,SANJEEV SHARMA (SHIVA BHAIYA),M,GEN,29,IND,338,21
80,SINGAROULI ,GEN,SAVITRI PANDEY,F,GEN,48,SP,1042,10
80,SINGAROULI ,GEN,SHIVSARAN KUSHWAHA,M,GEN,42,AD,448,19
81,DEVSAR ,SC,ANGAD PRASAD,M,SC,41,IND,677,13
81,DEVSAR ,SC,BABUARAM URF BALRAMDAS,M,SC,51,IND,1337,11
81,DEVSAR ,SC,BABULAL BASOR,M,SC,54,BSCP,2696,6
81,DEVSAR ,SC,BANSHMANI PRASAD VERMA,M,SC,64,IND,31003,2
81,DEVSAR ,SC,JAGDEV SAKET,M,SC,36,IND,782,12
81,DEVSAR ,SC,None of the Above,NULL,NULL,NULL,NOTA,4693,5
81,DEVSAR ,SC,RAJENDRA MESHRAM,M,SC,50,BJP,64217,1
81,DEVSAR ,SC,RAMANUJ SAKET,M,SC,39,BSP,16719,3
81,DEVSAR ,SC,RAMMILAN PRAJAPATI,M,SC,38,SP,1432,9
81,DEVSAR ,SC,RASILE,M,SC,55,IND,1756,7
81,DEVSAR ,SC,SUBHASH CHANDRA,M,SC,28,IND,1610,8
81,DEVSAR ,SC,SUNITA,F,SC,35,IND,1351,10
81,DEVSAR ,SC,SURENDRA PRAJAPATI,M,SC,37,GGP,13935,4
82,DHOUHANI ,ST,BRIJ LAL BAIGA,M,ST,35,LJP,879,12
82,DHOUHANI ,ST,COMRED BALRAJ  SINGH,M,ST,35,CPM,2232,7
82,DHOUHANI ,ST,DR. AJAY PRATAP MAURIA SANJAY,M,ST,33,IND,1844,8
82,DHOUHANI ,ST,DR. RAJ BAHADUR SINGH MARKAM,M,ST,40,BSP,16220,3
82,DHOUHANI ,ST,HEERA SINGH POYA,M,ST,39,NPEP,1053,10
82,DHOUHANI ,ST,HEERALAL SINGH GOND,M,ST,46,BSCP,1265,9
82,DHOUHANI ,ST,KUNWAR SINGH TEKAM,M,ST,50,BJP,60130,1
82,DHOUHANI ,ST,MANOHAR SINGH,M,ST,49,RsAD,756,14
82,DHOUHANI ,ST,None of the Above,NULL,NULL,NULL,NOTA,3929,5
82,DHOUHANI ,ST,PUSPRAJ SINGH SHYAM,M,ST,34,IND,959,11
82,DHOUHANI ,ST,REVTI SINGH,M,ST,37,ABGP,770,13
82,DHOUHANI ,ST,RUDRA PRATAP SINGH MARKAM,M,ST,50,GGP,8127,4
82,DHOUHANI ,ST,SHRIPAL SINGH,M,ST,29,IND,2358,6
82,DHOUHANI ,ST,TILAKRAJ SINGH UIKE,M,ST,40,INC,41129,2
83,BEOHARI,ST,BEERBAL BAIGA,M,ST,35,IND,1970,7
83,BEOHARI,ST,GOVIND SINGH,M,ST,47,IND,1432,8
83,BEOHARI,ST,HANUMANDEEN MAURYA,M,ST,60,SP,1249,9
83,BEOHARI,ST,KESHAV KOL,M,ST,40,BSP,9377,4
83,BEOHARI,ST,LAL BAHADUR SINGH NETI,M,ST,42,IND,1985,6
83,BEOHARI,ST,None of the Above,NULL,NULL,NULL,NOTA,4220,5
83,BEOHARI,ST,RAM PAL SINGH,M,ST,36,INC,74710,1
83,BEOHARI,ST,RAM PRASAD SINGH,M,ST,37,BJP,57368,2
83,BEOHARI,ST,TEJ PRATAP SINGH UIKEY,M,ST,34,GGP,23800,3
84,JAISINGHNAGAR,ST,DHYAN SINGH,M,ST,46,INC,60193,2
84,JAISINGHNAGAR,ST,FARSU,M,ST,28,BSCP,2589,6
84,JAISINGHNAGAR,ST,JAGANNATH BAIGA,M,ST,48,IND,921,11
84,JAISINGHNAGAR,ST,KALAVATI KOL,F,ST,30,IND,1476,9
84,JAISINGHNAGAR,ST,KESHAV LAL,M,ST,40,NPEP,865,12
84,JAISINGHNAGAR,ST,LALAN,M,ST,45,SP,763,13
84,JAISINGHNAGAR,ST,LALMAN BAIGA,M,ST,40,IND,1590,8
84,JAISINGHNAGAR,ST,None of the Above,NULL,NULL,NULL,NOTA,4919,4
84,JAISINGHNAGAR,ST,PRAMILA SINGH,F,ST,45,BJP,74156,1
84,JAISINGHNAGAR,ST,RADHA,F,ST,40,NCP,2043,7
84,JAISINGHNAGAR,ST,RAJU BAIGA,M,ST,43,SHS,640,14
84,JAISINGHNAGAR,ST,RAM JIYAVAN PANIKA,M,ST,41,IND,1025,10
84,JAISINGHNAGAR,ST,RAM LAL,M,ST,35,BSP,3506,5
84,JAISINGHNAGAR,ST,SUNITA SINGH,F,ST,25,GGP,10574,3
85,JAITPUR,ST,FATE BAHADUR SINGH,M,ST,49,BSCP,1367,12
85,JAITPUR,ST,INDRA BHAN SINGH PARASTE,M,ST,57,IND,680,18
85,JAITPUR,ST,JAI PRAKASH BAIGA,M,ST,32,NPEP,724,16
85,JAITPUR,ST,JAI SINGH MARAVI,M,ST,61,BJP,65856,1
85,JAITPUR,ST,KANDHAI BAIGA,M,ST,38,IND,882,15
85,JAITPUR,ST,KRISHAN PAL SINGH,M,ST,36,LJP,2062,7
85,JAITPUR,ST,LALAN SINGH,M,ST,36,INC,54650,2
85,JAITPUR,ST,MAYA RAM,M,ST,53,IND,971,14
85,JAITPUR,ST,MUNNA BAIGA,M,ST,36,IND,1223,13
85,JAITPUR,ST,NAND LAL,M,ST,32,IND,696,17
85,JAITPUR,ST,None of the Above,NULL,NULL,NULL,NOTA,1514,10
85,JAITPUR,ST,RAM KUMAR KOL,M,ST,50,BSP,4716,5
85,JAITPUR,ST,RAM RATAN SINGH PAVLE,M,ST,36,GGP,15116,3
85,JAITPUR,ST,RAMCHARAN PAV THAKUR,M,ST,38,IND,1761,9
85,JAITPUR,ST,SAHESH KOL,M,ST,55,IND,2028,8
85,JAITPUR,ST,SHESH NARAYAN SINGH,M,ST,43,SP,2444,6
85,JAITPUR,ST,SHIV CHARAN PAV,M,ST,53,IND,5574,4
85,JAITPUR,ST,VIMAL BAIGA,M,ST,38,IND,1479,11
86,KOTAMA ,GEN,ABHILASH TRIPATHI,M,GEN,32,IND,443,15
86,KOTAMA ,GEN,ARVIND GUPTA,M,GEN,60,IND,457,14
86,KOTAMA ,GEN,BRAJENDRA KUMAR MISHRA,M,GEN,26,SHS,494,13
86,KOTAMA ,GEN,BUDHA SEN RATHOUR,M,GEN,57,RSPI,502,12
86,KOTAMA ,GEN,HARIDWAR SINGH,M,GEN,57,CPI,4296,6
86,KOTAMA ,GEN,KHURSHID AHMED,M,GEN,46,BSP,7202,3
86,KOTAMA ,GEN,MANOJ  KUMAR   AGRAWAL,M,GEN,50,INC,38319,1
86,KOTAMA ,GEN,MANOJ VERMA KUSHWAHA,M,GEN,46,LJP,648,11
86,KOTAMA ,GEN,NARVDA SINGH,M,GEN,40,IND,1070,8
86,KOTAMA ,GEN,None of the Above,NULL,NULL,NULL,NOTA,1704,7
86,KOTAMA ,GEN,PUSHPENDRA SINGH GAHARWAR,M,GEN,35,GGP,5454,4
86,KOTAMA ,GEN,RAJESH SONI,M,GEN,52,BJP,36773,2
86,KOTAMA ,GEN,RAM KHELAWAN TIWARI,M,GEN,38,NCP,865,10
86,KOTAMA ,GEN,SAHASRAM,M,GEN,39,IND,4398,5
86,KOTAMA ,GEN,SAKET KUMAR,M,SC,28,IND,907,9
86,KOTAMA ,GEN,SAURABH KUMAR DWIVEDI,M,GEN,25,BSCP,396,16
87,ANUPPUR,ST,BISAHULAL SINGH,M,ST,61,INC,45693,2
87,ANUPPUR,ST,GANGA SINGH MARCHE,M,ST,42,BSP,2903,5
87,ANUPPUR,ST,None of the Above,NULL,NULL,NULL,NOTA,3206,3
87,ANUPPUR,ST,PURUSHOTTAM SINGH,M,ST,34,SP,1031,8
87,ANUPPUR,ST,RAM KRIPAL KOL,M,ST,35,NPEP,1374,7
87,ANUPPUR,ST,RAMLAL RAUTEL,M,ST,46,BJP,57438,1
87,ANUPPUR,ST,SAMAR SHAH SINGH GOND,M,ST,32,CPI,2745,6
87,ANUPPUR,ST,VIRENDRA SINGH MARAVI,M,ST,37,GGP,3111,4
88,PUSPRAJGARH,ST,BHANWAR SINGH,M,ST,67,IND,1037,12
88,PUSPRAJGARH,ST,HUBLAL TANDIYA,M,ST,49,NCP,1434,10
88,PUSPRAJGARH,ST,JHAMAKLAL KOL,M,ST,61,CPM,3924,6
88,PUSPRAJGARH,ST,LALAN SINGH PARASTE,M,ST,41,GGP,10759,3
88,PUSPRAJGARH,ST,None of the Above,NULL,NULL,NULL,NOTA,5349,4
88,PUSPRAJGARH,ST,PHUNDELAL SINGH MARKO,M,ST,43,INC,69192,1
88,PUSPRAJGARH,ST,RAM SHINGH ARMO,M,ST,37,SP,2635,7
88,PUSPRAJGARH,ST,RAMBALI SINGH,M,ST,44,IND,1248,11
88,PUSPRAJGARH,ST,RAMKRIPAL,M,ST,38,BSCP,4575,5
88,PUSPRAJGARH,ST,SAMPAT SINGH DHURVE,M,ST,52,IND,2025,9
88,PUSPRAJGARH,ST,SUDAMA SINGH SINGRAM,M,ST,45,BJP,33545,2
88,PUSPRAJGARH,ST,SUDHEER KUMAR KAPARDI,M,ST,30,BSP,2501,8
89,BANDHAVGARH,ST,CHAIN SINGH,M,ST,26,IND,1021,8
89,BANDHAVGARH,ST,ENGI VIJAY KUMAR KOL,M,ST,26,IND,3372,6
89,BANDHAVGARH,ST,GYAN SINGH,M,ST,63,BJP,66881,1
89,BANDHAVGARH,ST,KUSHAL SINGH MARKO,M,ST,47,GGP,6870,4
89,BANDHAVGARH,ST,None of the Above,NULL,NULL,NULL,NOTA,4998,5
89,BANDHAVGARH,ST,PYRELAL BAIGA,M,ST,59,INC,48236,2
89,BANDHAVGARH,ST,RAM MILAN BAIGA,M,ST,40,NPEP,1013,9
89,BANDHAVGARH,ST,RAMPYARI MANOHAR SINGH MARAVI,F,ST,46,BSP,7135,3
89,BANDHAVGARH,ST,SARJU,M,ST,47,IND,2279,7
89,BANDHAVGARH,ST,SEEMA NANDLAL,F,ST,26,SP,924,10
89,BANDHAVGARH,ST,VIJAY SINGH SHYAM,M,ST,37,BSCP,896,11
90,MANAPUR ,ST,ANNU KOL,M,ST,43,IND,1244,9
90,MANAPUR ,ST,DHANRAJ SINGH,M,ST,27,GGP,5122,6
90,MANAPUR ,ST,GYANWATI SINGH,F,ST,42,IND,26396,2
90,MANAPUR ,ST,MEENA SINGH,F,ST,42,BJP,70024,1
90,MANAPUR ,ST,MEL KUMAR SHIV SAINIK,M,ST,59,IND,1236,10
90,MANAPUR ,ST,MUNNALAL BAIGA,M,ST,39,NPEP,2101,8
90,MANAPUR ,ST,None of the Above,NULL,NULL,NULL,NOTA,6262,5
90,MANAPUR ,ST,PHOOL SINGH PARASTE,M,ST,48,BSP,17321,4
90,MANAPUR ,ST,RAM SINGH GOND,M,ST,39,SP,799,12
90,MANAPUR ,ST,ROOPMATI BAI,F,ST,35,BSCP,879,11
90,MANAPUR ,ST,SHAKUNTALA PRADHAN,F,ST,41,INC,25778,3
90,MANAPUR ,ST,SUNDARLAL KOL,M,ST,41,IND,3039,7
91,BADWARA,ST,ANIL KUMAR KOL (ALLI BABA),M,ST,36,LJP,2766,6
91,BADWARA,ST,JHAGDU LAL KOL,M,ST,62,BSP,9034,3
91,BADWARA,ST,MOTI KASHYAP,M,ST,73,BJP,62292,1
91,BADWARA,ST,None of the Above,NULL,NULL,NULL,NOTA,4390,5
91,BADWARA,ST,ROSHNI BAI UIKE,F,ST,44,JD(U),8500,4
91,BADWARA,ST,SUKHLAL,M,ST,54,SP,2686,7
91,BADWARA,ST,VIJAY RAGHVENDRA SINGH (BASANT SINGH),M,ST,38,INC,59005,2
92,VIJAYRAGHAVGARH,GEN,BAGHEL PUSHPENDRA SINGH(PAPPU BHAIA),M,GEN,43,SP,1222,8
92,VIJAYRAGHAVGARH,GEN,GAJENDRA SINGH,M,GEN,42,IND,2399,5
92,VIJAYRAGHAVGARH,GEN,HAJI GULAM BHAI,M,GEN,51,BSP,15560,3
92,VIJAYRAGHAVGARH,GEN,MATHURA PRASAD,M,GEN,46,IND,1948,7
92,VIJAYRAGHAVGARH,GEN,None of the Above,NULL,NULL,NULL,NOTA,4112,4
92,VIJAYRAGHAVGARH,GEN,PADMA SHUKLA,F,GEN,58,BJP,59790,2
92,VIJAYRAGHAVGARH,GEN,RAMBHAJAN SONI,M,GEN,41,GGP,2337,6
92,VIJAYRAGHAVGARH,GEN,SANJAY GUPTA (SANJU GUPTA),M,GEN,38,IND,936,9
92,VIJAYRAGHAVGARH,GEN,SANJAY PATHAK,M,GEN,43,INC,60719,1
92,VIJAYRAGHAVGARH,GEN,SURESH KUMAR PATEL,M,GEN,35,BSCP,759,10
92,VIJAYRAGHAVGARH,GEN,TARUN (TANU),M,GEN,36,NCP,744,11
93,MUDWARA,GEN,ANIL KUMAR ADWANI,M,GEN,32,BSCP,1042,7
93,MUDWARA,GEN,ASHOK SHARMA,M,GEN,62,JD(U),569,9
93,MUDWARA,GEN,BHAI VINDESHWARI PATEL,M,GEN,43,LSWP,1352,5
93,MUDWARA,GEN,DURGA MOSSI,F,GEN,27,IND,565,10
93,MUDWARA,GEN,FEROZ AHMAD,M,GEN,49,INC,40258,2
93,MUDWARA,GEN,M.H.KHAN SHERU BHAY,M,GEN,39,LJP,270,12
93,MUDWARA,GEN,None of the Above,NULL,NULL,NULL,NOTA,4333,4
93,MUDWARA,GEN,RAJESH NAYAK SOURABH,M,GEN,38,IND,1242,6
93,MUDWARA,GEN,RAVINDRA GUJJU VARMA,M,GEN,56,BSP,4444,3
93,MUDWARA,GEN,SANDIP SHRIPRASAD JAISWAL,M,GEN,48,BJP,87396,1
93,MUDWARA,GEN,VIJAY KUMAR KANKANE,M,GEN,50,SP,544,11
93,MUDWARA,GEN,VINOD KUMAR BADGAIYAN,M,GEN,45,IND,883,8
94,BAHORIBAND,GEN,ANAND LAL YADAV (LALLA BHAIYA),M,GEN,57,SP,1295,8
94,BAHORIBAND,GEN,BAL KISHAN PATEL,M,GEN,41,BSCP,1038,10
94,BAHORIBAND,GEN,KALLU RAJAK,M,GEN,40,IND,1033,11
94,BAHORIBAND,GEN,KU DR. NISHITH PATEL,M,GEN,39,INC,33586,2
94,BAHORIBAND,GEN,KUNWAR SOURABH SINGH,M,GEN,37,BSP,32829,3
94,BAHORIBAND,GEN,MATADEEN KOL,M,ST,52,IND,1055,9
94,BAHORIBAND,GEN,MUNNA LAL CHAMAR (DIWAN),M,SC,31,BA S D,765,12
94,BAHORIBAND,GEN,None of the Above,NULL,NULL,NULL,NOTA,3641,5
94,BAHORIBAND,GEN,PRABHAT PANDEY (BADE BABBU),M,GEN,59,BJP,54504,1
94,BAHORIBAND,GEN,SHANKAR  MAHTO,M,GEN,51,JD(U),25296,4
94,BAHORIBAND,GEN,SURAJ ADIBASI,M,ST,45,NCP,1456,7
94,BAHORIBAND,GEN,UDAY BHAN SINGH MARAVI,M,ST,47,NPEP,418,13
94,BAHORIBAND,GEN,VIJAY KUMAR,M,GEN,42,IND,1840,6
95,PATAN ,GEN,ABHISHEK,M,GEN,30,IND,256,10
95,PATAN ,GEN,AJAY VISHNOI,M,GEN,61,BJP,72802,2
95,PATAN ,GEN,AJIT CHAMOLI,M,SC,41,IND,194,14
95,PATAN ,GEN,DEEPAK SHUKLA,M,GEN,38,IND,229,11
95,PATAN ,GEN,DILIP,M,GEN,38,IND,191,15
95,PATAN ,GEN,GAYATRI NARAYAN SINGH RAJPUT,M,GEN,54,BSCP,689,6
95,PATAN ,GEN,GOND RAJA PRAHLAD SINGH (NANDU BHAIA),M,ST,49,ABGP,229,12
95,PATAN ,GEN,HUBBILAL RAVIDAS,M,SC,51,IND,2905,3
95,PATAN ,GEN,NEELESH AWASTHI,M,GEN,39,INC,85538,1
95,PATAN ,GEN,None of the Above,NULL,NULL,NULL,NOTA,2612,4
